Territorialidade,Posicao IDHM,IDHM,Posi  o IDHM Renda,IDHM Renda,Posi  o IDHM Educa  o,IDHM Educa  o,Posi  o IDHM Longevidade,IDHM Longevidade,Posi  o Mulheres,IDHM Mulheres,Posi  o Homens,IDHM Homens,Posi  o Negros,IDHM Negros,Posi  o Brancos,IDHM Brancos,Posi  o Urbano,IDHM Urbano,Posi  o Rural,IDHM Rural
S o Jos  de Ub  (RJ),3070,0.652,3120,0.633,3029,0.548,3214,0.798,,,,,,,,,,,,
Guarinos (GO),3070,0.652,3562,0.604,2707,0.563,2407,0.815,,,,,,,,,,,,
Casa Grande (MG),3070,0.652,3506,0.608,2888,0.555,1987,0.823,,,,,,,,,,,,
Ipiranga (PR),3070,0.652,2035,0.684,4183,0.489,1747,0.828,,,,,,,,,,,,
Jijoca de Jericoacoara (CE),3070,0.652,3419,0.614,1492,0.625,5254,0.723,,,,,,,,,,,,
Cara  (RS),3070,0.652,2626,0.661,3883,0.505,1647,0.83,,,,,,,,,,,,
Chupinguaia (RO),3070,0.652,2667,0.659,3716,0.514,2161,0.82,,,,,,,,,,,,
Porto Esperidi o (MT),3070,0.652,2513,0.666,3522,0.523,3329,0.795,,,,,,,,,,,,
 gua Doce do Norte (ES),3070,0.652,3334,0.619,3078,0.546,2216,0.819,,,,,,,,,,,,
Pocon  (MT),3070,0.652,2971,0.643,3300,0.534,2849,0.806,,,,,,,,,,,,
S rio (RS),3070,0.652,1741,0.695,4502,0.471,846,0.847,,,,,,,,,,,,
Mau  da Serra (PR),3070,0.652,2626,0.661,3402,0.529,3400,0.793,,,,,,,,,,,,
Silveir nia (MG),3070,0.652,2924,0.645,3774,0.511,1128,0.841,,,,,,,,,,,,
Iracema (CE),3070,0.652,3664,0.597,1350,0.632,5094,0.733,,,,,,,,,,,,
S o Martinho da Serra (RS),3070,0.652,2667,0.659,4047,0.496,792,0.848,,,,,,,,,,,,
General Carneiro (PR),3070,0.652,3048,0.638,3348,0.532,2357,0.816,,,,,,,,,,,,
Ibarama (RS),3070,0.652,1996,0.686,3774,0.511,3428,0.792,,,,,,,,,,,,
Moreno (PE),3070,0.652,3478,0.61,2690,0.564,2899,0.805,,,,,,,,,,,,
Campestre do Maranh o (MA),3070,0.652,3465,0.611,2233,0.586,3987,0.774,,,,,,,,,,,,
Guarar  (MG),3070,0.652,2842,0.65,3348,0.532,3026,0.802,,,,,,,,,,,,
Rochedo (MS),3090,0.651,2266,0.676,4143,0.491,1647,0.83,,,,,,,,,,,,
Alto Boa Vista (MT),3090,0.651,3437,0.613,2757,0.561,2990,0.803,,,,,,,,,,,,
Jati (CE),3090,0.651,4403,0.562,1308,0.634,3897,0.776,,,,,,,,,,,,
Periquito (MG),3090,0.651,3734,0.593,2888,0.555,1238,0.839,,,,,,,,,,,,
Bacabal (MA),3090,0.651,3334,0.619,2133,0.591,4661,0.753,,,,,,,,,,,,
Nova Brasil ndia (MT),3090,0.651,2343,0.673,4241,0.485,943,0.845,,,,,,,,,,,,
S o Jos  das Miss es (RS),3090,0.651,2807,0.652,3163,0.542,3704,0.782,,,,,,,,,,,,
S o Geraldo (MG),3090,0.651,2732,0.656,3847,0.507,1603,0.831,,,,,,,,,,,,
Porteirinha (MG),3090,0.651,3734,0.593,2245,0.585,3292,0.796,,,,,,,,,,,,
Santa Rita do Tocantins (TO),3090,0.651,3173,0.63,3434,0.527,1647,0.83,,,,,,,,,,,,
Aparecida do Rio Negro (TO),3090,0.651,3734,0.593,2185,0.588,3475,0.791,,,,,,,,,,,,
Virg nia (MG),3090,0.651,3095,0.635,3522,0.523,1704,0.829,,,,,,,,,,,,
Igaratinga (MG),3090,0.651,2090,0.682,4306,0.481,1075,0.842,,,,,,,,,,,,
Nova Tebas (PR),3090,0.651,3140,0.632,2924,0.553,3570,0.788,,,,,,,,,,,,
Padre Bernardo (GO),3090,0.651,2428,0.67,3696,0.515,3077,0.801,,,,,,,,,,,,
Goiana (PE),3090,0.651,3419,0.614,2427,0.576,3775,0.779,,,,,,,,,,,,
Taquara u de Minas (MG),3090,0.651,2971,0.643,3480,0.525,2259,0.818,,,,,,,,,,,,
S o Francisco de Goi s (GO),3090,0.651,2685,0.658,3814,0.509,1905,0.825,,,,,,,,,,,,
Arraias (TO),3090,0.651,3079,0.636,3522,0.523,1704,0.829,,,,,,,,,,,,
Iva  (PR),3090,0.651,2767,0.654,3300,0.534,3475,0.791,,,,,,,,,,,,
Taquarussu (MS),3090,0.651,2709,0.657,3100,0.545,4168,0.769,,,,,,,,,,,,
Crucil ndia (MG),3090,0.651,2789,0.653,3634,0.518,2357,0.816,,,,,,,,,,,,
Serra dos Aimor s (MG),3090,0.651,2789,0.653,3223,0.539,3670,0.784,,,,,,,,,,,,
Santana do Deserto (MG),3090,0.651,2647,0.66,4095,0.493,759,0.849,,,,,,,,,,,,
Nova Campina (SP),3090,0.651,3649,0.598,2399,0.577,3167,0.799,,,,,,,,,,,,
Carm sia (MG),3115,0.65,3155,0.631,3207,0.54,2899,0.805,,,,,,,,,,,,
Cangu u (RS),3115,0.65,2061,0.683,4143,0.491,2216,0.819,,,,,,,,,,,,
Faina (GO),3115,0.65,2952,0.644,3300,0.534,3167,0.799,,,,,,,,,,,,
Guadalupe (PI),3115,0.65,3034,0.639,3163,0.542,3362,0.794,,,,,,,,,,,,
S o Jo o do Manhua u (MG),3115,0.65,2667,0.659,4007,0.498,1370,0.836,,,,,,,,,,,,
Rio Casca (MG),3115,0.65,2822,0.651,3618,0.519,2504,0.813,,,,,,,,,,,,
Ros rio Oeste (MT),3115,0.65,2789,0.653,3593,0.52,2805,0.807,,,,,,,,,,,,
Itanhomi (MG),3115,0.65,2732,0.656,3925,0.503,1603,0.831,,,,,,,,,,,,
Nova Bandeirantes (MT),3115,0.65,1707,0.696,4544,0.469,1075,0.842,,,,,,,,,,,,
Ventania (PR),3115,0.65,3120,0.633,3137,0.543,3214,0.798,,,,,,,,,,,,
Barros Cassal (RS),3115,0.65,1890,0.69,3979,0.5,3329,0.795,,,,,,,,,,,,
Pium (TO),3115,0.65,3120,0.633,3434,0.527,2064,0.822,,,,,,,,,,,,
Pinhal da Serra (RS),3115,0.65,3000,0.641,3737,0.513,1419,0.835,,,,,,,,,,,,
Marmel polis (MG),3115,0.65,3403,0.615,2924,0.553,2849,0.806,,,,,,,,,,,,
Itapor  do Tocantins (TO),3115,0.65,3437,0.613,3368,0.531,1075,0.842,,,,,,,,,,,,
Pacaraima (RR),3115,0.65,3261,0.624,2816,0.558,3570,0.788,,,,,,,,,,,,
Cana Verde (MG),3115,0.65,2807,0.652,3753,0.512,2112,0.821,,,,,,,,,,,,
Monte Alegre dos Campos (RS),3115,0.65,2490,0.667,3961,0.501,2064,0.822,,,,,,,,,,,,
Gameleiras (MG),3115,0.65,4476,0.559,1633,0.618,3292,0.796,,,,,,,,,,,,
Monjolos (MG),3115,0.65,3454,0.612,3029,0.548,2216,0.819,,,,,,,,,,,,
Cabixi (RO),3115,0.65,2842,0.65,2798,0.559,4552,0.757,,,,,,,,,,,,
S o Felipe D'Oeste (RO),3136,0.649,3403,0.615,2531,0.571,3751,0.78,,,,,,,,,,,,
Timon (MA),3136,0.649,3419,0.614,2352,0.579,4204,0.768,,,,,,,,,,,,
Novo Horizonte do Sul (MS),3136,0.649,2732,0.656,3522,0.523,3214,0.798,,,,,,,,,,,,
Jes polis (GO),3136,0.649,2984,0.642,3549,0.522,2453,0.814,,,,,,,,,,,,
Arapiraca (AL),3136,0.649,3048,0.638,3011,0.549,3751,0.78,,,,,,,,,,,,
Cana  (MG),3136,0.649,2952,0.644,3348,0.532,3214,0.798,,,,,,,,,,,,
Peixoto de Azevedo (MT),3136,0.649,1858,0.691,3571,0.521,4430,0.761,,,,,,,,,,,,
Bar o de Monte Alto (MG),3136,0.649,3334,0.619,3328,0.533,1798,0.827,,,,,,,,,,,,
Jacobina (BA),3136,0.649,3079,0.636,2816,0.558,4064,0.772,,,,,,,,,,,,
Alagoa (MG),3136,0.649,3109,0.634,3634,0.518,1560,0.832,,,,,,,,,,,,
Mampituba (RS),3136,0.649,2842,0.65,3658,0.517,2504,0.813,,,,,,,,,,,,
S o Luiz (RR),3136,0.649,3550,0.605,2475,0.574,3570,0.788,,,,,,,,,,,,
Barra dos Coqueiros (SE),3136,0.649,2883,0.647,3100,0.545,3897,0.776,,,,,,,,,,,,
Candeias do Jamari (RO),3136,0.649,2807,0.652,3753,0.512,2216,0.819,,,,,,,,,,,,
Lebon R gis (SC),3136,0.649,3140,0.632,3249,0.537,2849,0.806,,,,,,,,,,,,
Boa Vista (PB),3136,0.649,3779,0.59,2304,0.582,3292,0.796,,,,,,,,,,,,
Novo S o Joaquim (MT),3136,0.649,2685,0.658,3847,0.507,2216,0.819,,,,,,,,,,,,
Bayeux (PB),3136,0.649,3334,0.619,2654,0.566,3775,0.779,,,,,,,,,,,,
Cerrito (RS),3136,0.649,2709,0.657,3908,0.504,1951,0.824,,,,,,,,,,,,
Unistalda (RS),3136,0.649,3235,0.626,3163,0.542,2940,0.804,,,,,,,,,,,,
Angico (TO),3156,0.648,4073,0.576,1727,0.612,4028,0.773,,,,,,,,,,,,
Morro da Gar a (MG),3156,0.648,3334,0.619,3239,0.538,2357,0.816,,,,,,,,,,,,
Passa-Vinte (MG),3156,0.648,2613,0.662,3847,0.507,2696,0.809,,,,,,,,,,,,
Ubajara (CE),3156,0.648,3695,0.595,2065,0.594,4168,0.769,,,,,,,,,,,,
S o Jo o do Oriente (MG),3156,0.648,3155,0.631,3270,0.536,2899,0.805,,,,,,,,,,,,
Carlos Chagas (MG),3156,0.648,3000,0.641,3737,0.513,1846,0.826,,,,,,,,,,,,
Felixl ndia (MG),3156,0.648,2822,0.651,3716,0.514,2407,0.815,,,,,,,,,,,,
Rio Manso (MG),3156,0.648,2266,0.676,3961,0.501,3026,0.802,,,,,,,,,,,,
Frei Inoc ncio (MG),3156,0.648,3261,0.624,2798,0.559,3775,0.779,,,,,,,,,,,,
Cardoso Moreira (RJ),3156,0.648,2789,0.653,3300,0.534,3704,0.782,,,,,,,,,,,,
Santa Maria de Itabira (MG),3156,0.648,3293,0.622,3328,0.533,2112,0.821,,,,,,,,,,,,
Cabeceira Grande (MG),3156,0.648,3048,0.638,3163,0.542,3570,0.788,,,,,,,,,,,,
Dilermando de Aguiar (RS),3156,0.648,2119,0.681,4631,0.463,319,0.864,,,,,,,,,,,,
Reserva do Igua u (PR),3156,0.648,3079,0.636,3571,0.521,2161,0.82,,,,,,,,,,,,
Santa Cruz do Capibaribe (PE),3156,0.648,2490,0.667,3868,0.506,2849,0.806,,,,,,,,,,,,
Capela Nova (MG),3156,0.648,3590,0.602,2600,0.568,3252,0.797,,,,,,,,,,,,
Bocaina do Sul (SC),3172,0.647,2984,0.642,3011,0.549,4204,0.768,,,,,,,,,,,,
Santana do Jacar  (MG),3172,0.647,2747,0.655,3522,0.523,3511,0.79,,,,,,,,,,,,
Goiabeira (MG),3172,0.647,3204,0.628,3223,0.539,3167,0.799,,,,,,,,,,,,
Salin polis (PA),3172,0.647,3204,0.628,3183,0.541,3214,0.798,,,,,,,,,,,,
Santana dos Montes (MG),3172,0.647,3506,0.608,2844,0.557,3077,0.801,,,,,,,,,,,,
Caracol (MS),3172,0.647,3204,0.628,3549,0.522,1846,0.826,,,,,,,,,,,,
Est ncia (SE),3172,0.647,3220,0.627,2953,0.552,3704,0.782,,,,,,,,,,,,
Cachoeira (BA),3172,0.647,3403,0.615,2399,0.577,4400,0.762,,,,,,,,,,,,
Ibatiba (ES),3172,0.647,2822,0.651,3961,0.501,1647,0.83,,,,,,,,,,,,
Munhoz (MG),3172,0.647,3109,0.634,3593,0.52,2112,0.821,,,,,,,,,,,,
Valen a do Piau  (PI),3172,0.647,3322,0.62,2654,0.566,4028,0.773,,,,,,,,,,,,
Brejo Santo (CE),3172,0.647,3678,0.596,2111,0.592,4204,0.768,,,,,,,,,,,,
Vila Boa (GO),3172,0.647,3334,0.619,3300,0.534,2259,0.818,,,,,,,,,,,,
Presidente Figueiredo (AM),3172,0.647,3220,0.627,3239,0.538,3026,0.802,,,,,,,,,,,,
Fernandes Tourinho (MG),3186,0.646,3506,0.608,2988,0.55,2805,0.807,,,,,,,,,,,,
Santo Amaro (BA),3186,0.646,3235,0.626,2798,0.559,4064,0.772,,,,,,,,,,,,
Lontra (MG),3186,0.646,3796,0.589,2399,0.577,3362,0.794,,,,,,,,,,,,
Cascavel (CE),3186,0.646,3834,0.587,2377,0.578,3400,0.793,,,,,,,,,,,,
Lucr cia (RN),3186,0.646,3261,0.624,2967,0.551,3649,0.785,,,,,,,,,,,,
Itamarandiba (MG),3186,0.646,3354,0.618,3053,0.547,3214,0.798,,,,,,,,,,,,
S o Miguel do Guapor  (RO),3186,0.646,2952,0.644,3249,0.537,3726,0.781,,,,,,,,,,,,
S o Sebasti o do Alto (RJ),3186,0.646,3048,0.638,3270,0.536,3540,0.789,,,,,,,,,,,,
Alpercata (MG),3186,0.646,3190,0.629,3571,0.521,1951,0.824,,,,,,,,,,,,
Piracema (MG),3186,0.646,2908,0.646,3696,0.515,2696,0.809,,,,,,,,,,,,
Penaforte (CE),3186,0.646,4288,0.566,1473,0.626,4430,0.761,,,,,,,,,,,,
Carvalhos (MG),3186,0.646,2490,0.667,4116,0.492,2161,0.82,,,,,,,,,,,,
Cacaul ndia (RO),3186,0.646,2562,0.664,3868,0.506,3077,0.801,,,,,,,,,,,,
Vale Verde (RS),3186,0.646,2513,0.666,4026,0.497,2357,0.816,,,,,,,,,,,,
Xinguara (PA),3186,0.646,2405,0.671,3925,0.503,3129,0.8,,,,,,,,,,,,
S o Jo o do Piau  (PI),3201,0.645,3403,0.615,2633,0.567,4168,0.769,,,,,,,,,,,,
S o Nicolau (RS),3201,0.645,2685,0.658,3522,0.523,3831,0.778,,,,,,,,,,,,
Tibau do Sul (RN),3201,0.645,2375,0.672,3908,0.504,3362,0.794,,,,,,,,,,,,
Fernandes Pinheiro (PR),3201,0.645,2883,0.647,3480,0.525,3475,0.791,,,,,,,,,,,,
 guas Formosas (MG),3201,0.645,3261,0.624,3368,0.531,2611,0.811,,,,,,,,,,,,
Durand  (MG),3201,0.645,3235,0.626,3832,0.508,1075,0.842,,,,,,,,,,,,
Muniz Freire (ES),3201,0.645,3068,0.637,3753,0.512,2112,0.821,,,,,,,,,,,,
General Maynard (SE),3201,0.645,3492,0.609,2633,0.567,3897,0.776,,,,,,,,,,,,
Jatob  (PE),3201,0.645,3562,0.604,2490,0.573,3948,0.775,,,,,,,,,,,,
Vila Bela da Sant ssima Trindade (MT),3201,0.645,2952,0.644,4066,0.495,1032,0.843,,,,,,,,,,,,
Taparuba (MG),3201,0.645,3562,0.604,2844,0.557,3167,0.799,,,,,,,,,,,,
Ant nio Dias (MG),3201,0.645,3261,0.624,3847,0.507,759,0.849,,,,,,,,,,,,
Manfrin polis (PR),3201,0.645,2984,0.642,3593,0.52,2899,0.805,,,,,,,,,,,,
Simol ndia (GO),3201,0.645,3695,0.595,3078,0.546,1846,0.826,,,,,,,,,,,,
Vera Cruz (BA),3201,0.645,3140,0.632,3593,0.52,2307,0.817,,,,,,,,,,,,
Ouro Branco (RN),3201,0.645,3478,0.61,2816,0.558,3540,0.789,,,,,,,,,,,,
Foz do Jord o (PR),3201,0.645,2767,0.654,4047,0.496,1747,0.828,,,,,,,,,,,,
Bocaina de Minas (MG),3201,0.645,2535,0.665,4409,0.476,792,0.848,,,,,,,,,,,,
Paragominas (PA),3201,0.645,2490,0.667,3716,0.514,3726,0.781,,,,,,,,,,,,
Tabuleiro do Norte (CE),3201,0.645,3322,0.62,3053,0.547,3475,0.791,,,,,,,,,,,,
Porto Alegre do Tocantins (TO),3201,0.645,3853,0.586,2266,0.584,3649,0.785,,,,,,,,,,,,
Crate s (CE),3222,0.644,3354,0.618,2988,0.55,3594,0.787,,,,,,,,,,,,
S o Miguel do Anta (MG),3222,0.644,3386,0.616,3522,0.523,1747,0.828,,,,,,,,,,,,
Forquilha (CE),3222,0.644,3908,0.583,1921,0.602,4452,0.76,,,,,,,,,,,,
Diamante D'Oeste (PR),3222,0.644,2883,0.647,3348,0.532,3897,0.776,,,,,,,,,,,,
Iaciara (GO),3222,0.644,3403,0.615,3434,0.527,1846,0.826,,,,,,,,,,,,
Engenheiro Caldas (MG),3222,0.644,3140,0.632,3634,0.518,2407,0.815,,,,,,,,,,,,
Crix s do Tocantins (TO),3222,0.644,3576,0.603,2888,0.555,3214,0.798,,,,,,,,,,,,
Mutum (MG),3222,0.644,3095,0.635,3774,0.511,2064,0.822,,,,,,,,,,,,
Cristal (RS),3222,0.644,1967,0.687,4502,0.471,1846,0.826,,,,,,,,,,,,
Messias Targino (RN),3222,0.644,3506,0.608,2671,0.565,3775,0.779,,,,,,,,,,,,
Senador Firmino (MG),3222,0.644,3034,0.639,3883,0.505,1704,0.829,,,,,,,,,,,,
Itacoatiara (AM),3222,0.644,3354,0.618,3300,0.534,2611,0.811,,,,,,,,,,,,
Carm polis (SE),3234,0.643,3279,0.623,3078,0.546,3690,0.783,,,,,,,,,,,,
S o Val rio (TO),3234,0.643,3550,0.605,3223,0.539,2453,0.814,,,,,,,,,,,,
Monte Carlo (SC),3234,0.643,2871,0.648,3774,0.511,2940,0.804,,,,,,,,,,,,
Rio Largo (AL),3234,0.643,3386,0.616,3053,0.547,3570,0.788,,,,,,,,,,,,
Nova Brasil ndia D'Oeste (RO),3234,0.643,2562,0.664,3502,0.524,4366,0.763,,,,,,,,,,,,
Mirante da Serra (RO),3234,0.643,2343,0.673,4081,0.494,3129,0.8,,,,,,,,,,,,
Nova Crix s (GO),3234,0.643,2318,0.674,4241,0.485,2504,0.813,,,,,,,,,,,,
Argirita (MG),3234,0.643,2924,0.645,3883,0.505,2307,0.817,,,,,,,,,,,,
Cal oene (AP),3234,0.643,3079,0.636,2988,0.55,4484,0.759,,,,,,,,,,,,
Serranos (MG),3234,0.643,3048,0.638,3988,0.499,1464,0.834,,,,,,,,,,,,
Nazar  (TO),3234,0.643,3894,0.584,2427,0.576,3428,0.792,,,,,,,,,,,,
Lago o (RS),3234,0.643,3000,0.641,3883,0.505,2064,0.822,,,,,,,,,,,,
Ant nio Jo o (MS),3234,0.643,3120,0.633,3458,0.526,3167,0.799,,,,,,,,,,,,
Jequita  (MG),3234,0.643,3550,0.605,2953,0.552,3252,0.797,,,,,,,,,,,,
Governador Mangabeira (BA),3234,0.643,3716,0.594,2065,0.594,4625,0.754,,,,,,,,,,,,
Teixeir polis (RO),3234,0.643,2789,0.653,4007,0.498,2259,0.818,,,,,,,,,,,,
Hulha Negra (RS),3234,0.643,2789,0.653,3753,0.512,3292,0.796,,,,,,,,,,,,
Palmeiras (BA),3234,0.643,3506,0.608,2776,0.56,3704,0.782,,,,,,,,,,,,
Alvorada D'Oeste (RO),3234,0.643,2767,0.654,3300,0.534,4366,0.763,,,,,,,,,,,,
Rio Crespo (RO),3234,0.643,3068,0.637,3737,0.513,2504,0.813,,,,,,,,,,,,
Almenara (MG),3254,0.642,3079,0.636,3634,0.518,2990,0.803,,,,,,,,,,,,
Barrol ndia (TO),3254,0.642,3623,0.6,3183,0.541,2307,0.817,,,,,,,,,,,,
S o Val rio do Sul (RS),3254,0.642,2318,0.674,4332,0.48,2357,0.816,,,,,,,,,,,,
Bel m do S o Francisco (PE),3254,0.642,3465,0.611,2924,0.553,3670,0.784,,,,,,,,,,,,
Almeirim (PA),3254,0.642,2667,0.659,4026,0.497,2696,0.809,,,,,,,,,,,,
Santa Rita do Pardo (MS),3254,0.642,2747,0.655,3883,0.505,3129,0.8,,,,,,,,,,,,
Baba ul ndia (TO),3254,0.642,3796,0.589,2600,0.568,3428,0.792,,,,,,,,,,,,
Santana do Serid  (RN),3254,0.642,3695,0.595,2338,0.58,4245,0.767,,,,,,,,,,,,
Cora  o de Jesus (MG),3254,0.642,4089,0.575,2557,0.57,2754,0.808,,,,,,,,,,,,
Flor nia (RN),3254,0.642,3465,0.611,2776,0.56,3948,0.775,,,,,,,,,,,,
Passab m (MG),3254,0.642,3155,0.631,3328,0.533,3594,0.787,,,,,,,,,,,,
Itabaiana (SE),3254,0.642,2924,0.645,3737,0.513,3077,0.801,,,,,,,,,,,,
Malta (PB),3254,0.642,3322,0.62,3328,0.533,3129,0.8,,,,,,,,,,,,
Laranjeiras (SE),3254,0.642,3796,0.589,2304,0.582,4064,0.772,,,,,,,,,,,,
Corrente (PI),3254,0.642,3322,0.62,3207,0.54,3540,0.789,,,,,,,,,,,,
Amap  (AP),3254,0.642,3155,0.631,3348,0.532,3511,0.79,,,,,,,,,,,,
Marechal Deodoro (AL),3254,0.642,3000,0.641,3593,0.52,3400,0.793,,,,,,,,,,,,
Nova Laranjeiras (PR),3254,0.642,3419,0.614,3658,0.517,1515,0.833,,,,,,,,,,,,
Manga (MG),3254,0.642,3261,0.624,3388,0.53,3167,0.799,,,,,,,,,,,,
S o Vicente (RN),3254,0.642,3538,0.606,2866,0.556,3594,0.787,,,,,,,,,,,,
Quixeramobim (CE),3254,0.642,3753,0.592,2633,0.567,3540,0.789,,,,,,,,,,,,
Coxixola (PB),3275,0.641,3853,0.586,2633,0.567,3362,0.794,,,,,,,,,,,,
S o Mamede (PB),3275,0.641,3368,0.617,2816,0.558,4304,0.765,,,,,,,,,,,,
Primavera de Rond nia (RO),3275,0.641,2924,0.645,3753,0.512,3167,0.799,,,,,,,,,,,,
Jo o Lisboa (MA),3275,0.641,3876,0.585,2490,0.573,3649,0.785,,,,,,,,,,,,
Axix  (MA),3275,0.641,5008,0.535,1308,0.634,3897,0.776,,,,,,,,,,,,
Nova Porteirinha (MG),3275,0.641,3894,0.584,2866,0.556,2611,0.811,,,,,,,,,,,,
Nazar  (BA),3275,0.641,3068,0.637,3348,0.532,3871,0.777,,,,,,,,,,,,
Campo Belo do Sul (SC),3275,0.641,2871,0.648,3419,0.528,4204,0.768,,,,,,,,,,,,
Aquiraz (CE),3275,0.641,3506,0.608,2988,0.55,3570,0.788,,,,,,,,,,,,
Amparo do Serra (MG),3275,0.641,3386,0.616,3419,0.528,2611,0.811,,,,,,,,,,,,
Taquaritinga do Norte (PE),3275,0.641,3079,0.636,3593,0.52,3292,0.796,,,,,,,,,,,,
Itacarambi (MG),3275,0.641,3734,0.593,2690,0.564,3594,0.787,,,,,,,,,,,,
Goioxim (PR),3275,0.641,3734,0.593,3053,0.547,2504,0.813,,,,,,,,,,,,
Alta Floresta D'Oeste (RO),3275,0.641,2709,0.657,3458,0.526,4366,0.763,,,,,,,,,,,,
Barra do Turvo (SP),3275,0.641,3247,0.625,3348,0.532,3428,0.792,,,,,,,,,,,,
Frei Martinho (PB),3275,0.641,3155,0.631,3163,0.542,4131,0.77,,,,,,,,,,,,
Bocai va do Sul (PR),3291,0.64,2182,0.679,4463,0.473,2357,0.816,,,,,,,,,,,,
Concei  o do Araguaia (PA),3291,0.64,3155,0.631,3207,0.54,4131,0.77,,,,,,,,,,,,
Vit ria de Santo Ant o (PE),3291,0.64,3190,0.629,3137,0.543,4204,0.768,,,,,,,,,,,,
Itapipoca (CE),3291,0.64,4403,0.562,1712,0.613,4430,0.761,,,,,,,,,,,,
Santa Maria do Sua u  (MG),3291,0.64,3190,0.629,3774,0.511,2307,0.817,,,,,,,,,,,,
S o Rom o (MG),3291,0.64,3853,0.586,2600,0.568,3594,0.787,,,,,,,,,,,,
Timba ba dos Batistas (RN),3291,0.64,3419,0.614,2133,0.591,5254,0.723,,,,,,,,,,,,
Senador Guiomard (AC),3291,0.64,2861,0.649,3737,0.513,3629,0.786,,,,,,,,,,,,
Maca ba (RN),3291,0.64,3437,0.613,3100,0.545,3670,0.784,,,,,,,,,,,,
Carmol ndia (TO),3291,0.64,3304,0.621,3571,0.521,2661,0.81,,,,,,,,,,,,
Catol  do Rocha (PB),3291,0.64,3368,0.617,3223,0.539,3594,0.787,,,,,,,,,,,,
S o Domingos (BA),3291,0.64,3607,0.601,2457,0.575,4552,0.757,,,,,,,,,,,,
Pedras Altas (RS),3291,0.64,2883,0.647,4095,0.493,2161,0.82,,,,,,,,,,,,
S o Gon alo do Rio Preto (MG),3291,0.64,3734,0.593,3163,0.542,2407,0.815,,,,,,,,,,,,
Itaituba (PA),3291,0.64,2952,0.644,3792,0.51,3129,0.8,,,,,,,,,,,,
Porto Grande (AP),3291,0.64,3478,0.61,2908,0.554,3871,0.777,,,,,,,,,,,,
S o Jo o do Manteninha (MG),3291,0.64,3279,0.623,3549,0.522,2899,0.805,,,,,,,,,,,,
Rio Branco do Iva  (PR),3291,0.64,3261,0.624,3249,0.537,3690,0.783,,,,,,,,,,,,
Rondol ndia (MT),3291,0.64,3334,0.619,3388,0.53,3129,0.8,,,,,,,,,,,,
Formoso (MG),3291,0.64,3386,0.616,3792,0.51,1464,0.834,,,,,,,,,,,,
Machacalis (MG),3291,0.64,3524,0.607,2953,0.552,3690,0.783,,,,,,,,,,,,
Paudalho (PE),3312,0.639,3454,0.612,3100,0.545,3704,0.782,,,,,,,,,,,,
 gua Branca (PI),3312,0.639,3623,0.6,2578,0.569,4366,0.763,,,,,,,,,,,,
Nioaque (MS),3312,0.639,2685,0.658,4272,0.483,2064,0.822,,,,,,,,,,,,
S o F lix do Coribe (BA),3312,0.639,3607,0.601,2888,0.555,3670,0.784,,,,,,,,,,,,
Desterro de Entre Rios (MG),3312,0.639,3524,0.607,3270,0.536,3026,0.802,,,,,,,,,,,,
Delta (MG),3312,0.639,2375,0.672,4306,0.481,2754,0.808,,,,,,,,,,,,
Capit o En as (MG),3312,0.639,4137,0.573,2671,0.565,2849,0.806,,,,,,,,,,,,
Palmital (PR),3312,0.639,2883,0.647,3774,0.511,3475,0.791,,,,,,,,,,,,
Mariluz (PR),3312,0.639,2789,0.653,3908,0.504,3362,0.794,,,,,,,,,,,,
Tef  (AM),3312,0.639,3068,0.637,3774,0.511,3077,0.801,,,,,,,,,,,,
Apodi (RN),3312,0.639,3465,0.611,2531,0.571,4826,0.747,,,,,,,,,,,,
Araguacema (TO),3312,0.639,3834,0.587,2924,0.553,2899,0.805,,,,,,,,,,,,
Uruburetama (CE),3312,0.639,4351,0.564,1802,0.608,4452,0.76,,,,,,,,,,,,
S o F lix (BA),3312,0.639,3934,0.582,2293,0.583,4168,0.769,,,,,,,,,,,,
Caroebe (RR),3312,0.639,3623,0.6,3011,0.549,3475,0.791,,,,,,,,,,,,
Luzin polis (TO),3312,0.639,3734,0.593,1857,0.605,5207,0.726,,,,,,,,,,,,
S o Francisco de Itabapoana (RJ),3312,0.639,3354,0.618,3328,0.533,3475,0.791,,,,,,,,,,,,
Piedade de Ponte Nova (MG),3312,0.639,3386,0.616,3419,0.528,3026,0.802,,,,,,,,,,,,
Novo Acordo (TO),3312,0.639,3354,0.618,3388,0.53,3252,0.797,,,,,,,,,,,,
Dois Irm os do Buriti (MS),3312,0.639,3021,0.64,3419,0.528,4028,0.773,,,,,,,,,,,,
Ribeir o Branco (SP),3312,0.639,3753,0.592,2924,0.553,3252,0.797,,,,,,,,,,,,
Corumbata  do Sul (PR),3333,0.638,3140,0.632,3593,0.52,3511,0.79,,,,,,,,,,,,
Vicente Dutra (RS),3333,0.638,2732,0.656,4183,0.489,2696,0.809,,,,,,,,,,,,
Sim o Pereira (MG),3333,0.638,2924,0.645,4373,0.478,1032,0.843,,,,,,,,,,,,
Nossa Senhora do Livramento (MT),3333,0.638,3623,0.6,3402,0.529,2161,0.82,,,,,,,,,,,,
Palmeira dos  ndios (AL),3333,0.638,3247,0.625,3522,0.523,3362,0.794,,,,,,,,,,,,
Palhano (CE),3333,0.638,4161,0.572,1433,0.628,5254,0.723,,,,,,,,,,,,
